name,rating,text,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,stars
Han Na,,"mé nó vào bấm mãi đồ ăn mà không được, nhân viên thì đơ đơ",,,,3
Ayanda Nhlapo,,Just another mcdonald's.  Food was fresh and tasty.  Not quite like the taste in South Africa.  Very different.  Not sure if it's the mayo or chicken spice  but good otherwise,5,5,5,4
Anne Kang,,친절하요~ 다만 1층 입구만 시원해요 ^^,,,,5
Hello Walker,,"베트남에 와서 가장 맛없는 커피를 여기서 먹었습니다;;; 카페라떼도 아니고 카페쓰어다도 아니고 이게 뭔지;;; 가격은 또 어찌나 콧대가 높은지. 맥도날드를 비추하기는 처음입니다;;;
이곳을 나가셔서 다른 질좋은 식사와 커피를 접하시길 바랍니다;;;;",2,1,3,1
Roger R.,,"SLOW and confusing

Sometimes the chicken here is super good, but its not reliable or consistent. I renounce eating here.",,,,2
Arun Dutta,,Just okay,,,,4
Anduin Lin,,"麥當勞和肯德基在越南開的不多
我推測是因為越南人習慣吃的清淡
但是價格上和台灣相比便宜很多
聖代冰淇淋一樣很好吃
薯條和台灣差不了多少
這裡的炸雞雖然沒有台灣的好吃
但是雞胸肉的部分很大一塊
要是炸的部分能改善一下就很完美了
要是吃飽了附近有一間越南很紅的冰棒店
可以去吃吃看
麥當勞門口出去兩點鐘的方向走去
不用兩分鐘就可以看到冰棒的招牌",4,5,5,4
Mỹ Trinh,,"Đồ ăn ngon, các bạn nhân viên ở đây phục vụ và hướng dẫn rất nhiệt tình.",,,,5
Karen Lapniten-Bosaing (karenkariana),,"This, so far, is the only McDonald's that I have been to that serves healthy options! I got shake shake salad and corn :-)

You can order using the machine and pay for your food using card. It is quite convenient.",4,5,5,5
Hung Doan,,Same as any Macca's in Australia. Just no apple pies,5,5,5,5
Yoram Shitrit,,"מזעזע ביותר!!!
הזמנתי בורגר עוף ,קיבלתי דוגמית של ביס,לא יותר. המחיר אינו מצדיק במאומה את הבורגר, החזרתי להם את המנה ודרשתי את כספי בחזרה. אחרי ויכוח קיבלתי את כספי ועפתי משם. פשוט ביזיון",1,2,1,2
Victorian Thibault-malo,,Matcha-Oreo Mcflurry was *chef's kiss*,5,5,5,5
Hồng Sơn Nguyễn,,"Food in here is warmer than other food, nice food service, and fries, fillet-o-fish and chicken nugget is really good",,,,5
VuongToanChien Chiến 686868,,Chờ lấy đơn quá lâu,,,,2
Laura de Vries,,"Classic McDonald’s, good deals, give you a coupon for the next time you visit! Highly recommend the McSpicy and the Vietnamese latte",4,5,4,5
Quỳnh Anh Phạm,,Làm đồ chậm còn thái độ với khách,,,,1
Max Me,,"Einer der wenigen McDonald's in Hanoi, zentral gelegen mit Bedientterminal und Bring in Service. Sehr gute Preise, auch mit der McDonald's App Vietnam kann man hier noch besondere Deals nutzen. Überwiegend von Touristen genutzt bei ausreichend Sitzplätzen, auch im ersten Obergeschoss. Nahe der Altstadt und anderen Sehenswürdigkeiten gelegen kann man hier sich vorbereiten auf den Besuch der Sehenswürdigkeiten. Gut, nicht zu kalt, klimatisiert mit sauberen Toiletten.",4,5,5,4
김낙원,,누구나 아는 맥도날드입니다. 그렇지만 현지의 오묘한 맛의 차이를 느끼고 싶다면 추천드립니다. 사람이 너무 많고 아직 베트남 사람들은 키오스크에 익숙치 않는 모습입니다,4,3,2,4
Leonardo Duc Dao,,Reis mit Hähnchen und Salat gibt es nicht in jedem Mc Donalds. Daher unbedingt ausprobieren. Das Hähnchen ist knusprig und der Reis ist frisch gemacht,4,5,4,4
강수민,,빅맥먹었는데 맛있었어요,4,5,4,5
Trung Nguyen Tuan,,Hệ thống đặt hàng bằng máy rất nhanh và tiện lợi.,4,4,5,5
謝宗銘,,Ngon,5,5,5,5
Benoit Pirenne,,On a pas pu s'en empêcher après plusieurs semaines de nourriture locale !,,,,4
melvin san gabriel,,Service is fast. They have crew all over the place to assist you.,4,4,4,4
Hsu James,,Vietnamese test,,,,3
Minh Tú Hoàng,,"Ngon, sạch sẽ",,,5,5
Pratik Gadgil,,"I went here twice. The order didn't take long to place, and there were staff to help when I couldn't place the order through the touch screen device ( since I have never placed one in that manner before ). The order was served to my table within 7-8 mins. There are both- high and normal level of seats available.

I tried the same burger on both occasions, and it was very good, there are many customizations available, and there is an option to add extra or exclude an ingredient you want and don't want respectively. Found it better than one of the competitors. The rates do look a bit high, but surely there is a variety, and the area is also quite large. Being located right next to the HK Lake does gives the restaurant a competitive advantage.",5,5,5,5
Cristina Nannarone Tran,,"I had to taste test the coffee :) it was awesome cause Vietnam knows it coffee!  Hubby tried the big breakfast and said it was good but he was so happy to have a strawberry sundae since they took those away in Canada (no idea why )
When in another country you gotta try at least one chain place for fun 😊",5,5,5,5
Nguyen Huy Tung,,Không gian chật quá!,3,5,4,4
Douglas Johnson,,True McDonald’s in nearly every way. Taste is the same as back home but much friendlier and happier staff. The Oreo McFlurry with extra Oreo was perfect on a hot and humid day walking around Old Hanoi!,5,5,5,5
Cường Trần,,Mình thích ăn Big Mac,4,5,4,5
Dennis Danetzki,,"One of the worst McDonald’s experiences I ever had. First of all our order was forgotten and we had to ask after around 15 minutes as it disappeared on the display.
After the unfriendly employee gave us our order and we went to our table, we noticed that our burger were completely fallen apart and one half was even in the bag.

The quality of the food was (beside the look) like McDonald’s and not very different to European/Western McDonald’s.

Besides that I would not recommend going to this restaurant.",,,,1
Papuas Kanibal,,"מקום נקי, מהיר וזול",,,,5
Itay Chechik,,Why would you come all the way to Hanoi to go to mcdonalds,,,,1
Kushi Bomba,,"Food was ok

When we were there, it was full of families and the whole place smelled like sewer

Thankfully my poop0o time afterwards was A-Ok, so 3💫",,,,3
Harry Hải,,1 trải nghiệm thú vị!,5,5,5,5
김용찬,,특별할거 없음,3,3,3,3
yakamo k,,The machines mess up any customisation you make . This has happened several time so I quit coming here as it's too much time and effort.,3,3,1,1
Neil 3413,,廁所好髒.....,4,4,4,4
S SS,,I really like the burgers here and milkshakes too and very clean toilets.,,,,5
JD DAVIS,,It was a McD.  You know what to expect and they deliver!,,,,4
giaphong phung,,gọi gà k cay ship gà cay,,,,1
LUẬT SƯ ĐÔNG NAM Á (Thuat lawyer),,Khá cuốn hút trẻ em,,,,3
Binh Nguyen,,No more Big Mac🥲,,,,5
Ondřej Bařina,,Normální Mc.,,,,4
Bảo Nguyễn,,"Oke, gửi xe 10k, đồ ăn cx vừa",4,4,5,4
전대풍,,맛은 어디든 비슷한 것같고 키오스크에서 주문하면 자리로 배달해주네요. 12시 전엔 좀 한가한데 넘어가면 사람 많아요.,5,5,5,5
Mjaatr Hz,,Scam!!!!! We wanted to use our very valid coupons and they didn’t make it work for us. We had calculated for hours and put a lot of effort in to it. Very unprofessional,,,,1
Peter Maffai,,"Ist halt ein McDonald's. McSpicy ist sehr lecker, vorsicht scharf(!)",3,3,3,3
Angel L,,As expected.,4,4,4,4
Guilherme Camargo (itsguilhermecamargo),,"Aparentemente não tem padrão, comida é normal mas o local é sujo e muito fedido, nunca fui em um MC Donalds fedido assim, nem em Nova Iorque nos piores bairros com moradores de rua é tão sujo assim, fui em alguns MC Donalds de Saigon e era tão limpo! Em relação aos funcionários tudo bem , só melhorar a limpeza e o fedor",,,,2
R Lucy,,"Très bon repas, niveau prix c'est abordable (hormis le poulet je trouve). Ils sont généreux en termes de quantité ce qui est agréable.
Personnel agréable.
Facile pour y aller (bus) et à proximité du lac.
Le repas en question : Big Mac, frappé goût matcha, sundae chocolat et poulet",5,5,5,4
Victor G,,McDonald’s is McDonald’s,,,,3
D Mmm,,"屋台飯やローカルフードに疲れてきたときに入りました。注文はタッチパネルで、お米のなんかのセットをオーダー。ジュースは追加料金？がありましたがMサイズ(大体日本のMと同じかな？)にしました。番号で呼ばれるし、店員さんも観光客に慣れてて早い。注文ミスの不安がない。あとベトナム限定メニューもあるし、旅行中1回くらいは訪れる価値ありです！
あと、お米の何かはジャスミンライスっぽい味で、チリソースかかってました。久々の白米が美味しく、味も良かったです。

GFS BIG RICE MEAL ₫ 49,000(≒ 274円)
JUICE M ₫ 5,000(≒ 28円)",4,4,3,4
Pritesh Shetty,,Located in a decent area. Was filled with foreigners upstairs with loud noise. The floor was very wet and people were slipping. Cleanliness wasnt good. Please work on it. Food was decent.,3,4,3,3
J. B. (Joa_NYC),,Food and service great!...but the second floor smells musty,3,5,5,3
Leonardo de Leon,,Nice,,,,5
Alexander Yudin,,"Big breakfast is available, which I used to eat in Russia. But was no paper in toilet. Sadness",,,,4
Nhat My Truong,,Dịch vụ ko thể tệ hơn được. 3 lần order lần nào cũng đưa thiếu đồ.,3,3,1,1
Shi Belya,,"Заказывая здесь будьте готовы к тому, что помощи сотрудника вы не дождётесь, потому что вьетнамцы используют одного единственного сотрудника как официанта, заставляя его полностью делать заказ на пункте самозаказа и только показывают ему пальцем куда нажимать. Это дно. Почему сотрудники здесь настолько не ценят себя и выполняют не свою работу - другой вопрос. Факт в том, что если вам нужна помощь, сотрудник будет занят какой-то ерундой",,,,2
D Nöth,,Ausverkauft,3,1,1,1
Line D,,Good place and clean,,,,4
Ala Ershaid,,🥰❤️✌️,5,5,5,5
이용찬,,편리하고 좋아요. 베트남 일반 음식 가격 보다는 비싸요 하지만 베트남에서 먹는 햄버거도 별미예요...,5,5,5,5
高梨直季,,ベトナムハノイのマクドナルド。日本のマクドナルドとほぼ同じ味ですが、東南アジアマクドナルドあるあるの『ご飯系』があります。チキンは十分にカリカリジューシーで美味しいです。ご飯はパラパラ系なので好き嫌いはあるかもしれません。フライドポテト、チキンナゲット、バーガー類はいつもの味でホットできます。席は2階にもあるので、運が良ければ見つかります。なお、電子パネルでの注文なのでなれないと結構大変です。,3,4,3,3
ash em,,暑いハノイでは飲み物もよく飲むし、したがって出るものも増えます。公衆トイレがほぼない街なのでここは非常にありがたいです,,,,5
Husni Pratama,,"Sehr bequem. Wir können online bestellen, um nicht Schlange zu stehen. Aber manchmal lange serviert.",5,5,5,5
Thị Xuân Bùi,,Nằm ngay ngã tư hàng bài tràng tiền. Siêu tiện nằm trọn trong khuôn viên đi bộ Hồ Hoàn Kiếm dễ dàng ăn nha,,,,5
Hà Đinh,,Very good,,,,5
Esteban Cuello,,Buena comida para salirse un poco de los sabores del sudeste asiático. Rica hamburguesa que trae mayonesa. Buen servicio y muy limpio. Además que los precios son bajos en comparación a los valores occidentales. Buena opción si busca comida distinta en Vietnam,5,5,5,5
Linh Nguyễn Duy,,Không khí trong quán mùi lắm .,,,,3
Habdula Gannivala,,"Experience rocambolesque!!

Arrivé sur les coups de 13h avec un couple d'amis nous avons fait une commande groupée sur une borne. Durant le temps de celle-ci mon camarade n'a cessé de se faire bousculer par des gens qui s'impatientait. A peine je dis bien à peine le ticket de notre commande sorti la dame de derrière accompagnée d'une employée nous ont empressé de libérer la borne soulignant que nous mettions trop de temps sur un ton désagréable !

Nous avons récupéré notre commande assez vite malgré la cohue puis nous sommes sorti mangé dehors.
Quelle ne fut pas ma surprise lorsque je découvrit que mon burger ne correspondait en rien à celui que j'avais commandé.
Nonobstant les prix sont corrects pour mes confrères européens qui me lisent il vous faudra débourser environ 5€ pour un menu large.",1,3,2,3
Vamsi Vardhan reddy,,Best place who want to skip Vietnam food. I am from India it is a very good choice for Indians as all Indian restaurants are very expensive.,5,5,5,5
Janae Stafford,,Very busy and crowded location. Loud inside! More seating upstairs. All my good was great besides the cheeseburger. It was stale and soggy. I wonder if they gave me the wrong one?,,,,4
Mike Landowski,,"The food was consistent with what you expect from McDonald's. The service is extremely slow though. I went twice and one time it was busy and the other time there were 5 employees in the kitchen and I had the only order in process and it still took a long time. Also, they have lots of specials posted on their app. You can scan the code from the app using the kiosks if you prefer to order onsite also.",4,5,2,3
Boyd Wilson,,"Had to try Vietnamese Macca's, pretty much the same as home but the fried chicken was very good.",3,3,3,4
FREAD TOM,,"ハノイ ホアンキエム湖のマクドナルド🎵
安定の味🎶
マフィンも美味しい🎵",4,4,4,4
Suchin Official,,"Nói chung là ok.
Lúc nào cũng đông.
Nhân viên phục vụ nhanh và nhiệt tình.
Đồ ăn thì đúng là đồ ăn nhanh nên để nói về ngon hay không thì cũng ko có gì để đánh giá.
Trẻ con thích ăn. Quán ở vị trí trung tâm. Quán nhiều trẻ con và người nước ngoài. Trông cũng sạch sẽ. Áp dụng màn hình công nghệ để oder đồ tuy hơi lâu vì nhiều người chưa thạo dùng. Nhưng nhìn chung là cũng thông minh. Ngoài ra nay còn có app để oder. Chưa thử nhưng có vẻ tiện. Các bạn thử xem nhé !",,,,5
Hanna J,,"Nice location, strong wifi and probably the best ice cream I've had in Hanoi",,,,4
Hamed khalaf,,very nice place,5,5,5,5
Sonja Rock,,Refused to refund & cancel incorrect order placed by my 12 year old son on the self-service machine.,1,3,1,1
coffe e,,다 녹은 아이스크림 줌. 밀크셰이크인줄..,1,1,1,1
bear new,,タッチパネルで英語表記があるので簡単にオーダーできます。日本と同様店員さんも親切です。日本にはないメニューもあり楽しめます。トイレを借りるにも良いスポットです。,,,,5
Alexander Nemirov,,"Невероятно дорого конечно, но иногда норм)",,,,3
Md. S Alam,,Very good food and delicious,5,5,5,5
또또이,,한국과 달리 주문하면 알아서 가져다 줍니다. 빅맥은 한국에 비해 매우 작네요.,5,5,5,5
