Name,Review,Stars,Translated Review,Language,Sentiment
King,Not well managed place. Dark and slow preparation of food. Quality of food a little bit below average.,3,Nơi không được quản lý tốt. Chuẩn bị thức ăn tối và chậm. Chất lượng thực phẩm thấp hơn một chút so với mức trung bình.,en,Neutral
Mohammed AL-Hitmi,Nothing special just the classic McDonald's menu,3,Không có gì đặc biệt chỉ là thực đơn cổ điển của McDonald's,en,Neutral
ngo Lee (Ham),"注文マシン、トイレあり
昼時は混雑し、提供に時間かかる
ベトナムのマクドナルドは単品ではない一部のバリューセットだけべらぼうに安いので要確認",4,"Máy đặt hàng và nhà vệ sinh có sẵn
Buổi trưa đông đúc và phải mất nhiều thời gian để phục vụ đồ ăn.
Tại McDonald's ở Việt Nam, một số bộ giá trị không phải là món đơn lẻ có giá cực kỳ rẻ nên bạn hãy nhớ kiểm tra.",ja,Positive
Alex A,不错,5,Tốt,zh-CN,Positive
dao quan,Không gian hơi bé,5,Không gian hơi bé,vi,Positive
Ciptandi Syahlavida,Friendly staff,5,Nhân viên thân thiện,en,Positive
Trường Trần,Địa điểm của giới nhà giàu,4,Địa điểm của giới nhà giàu,vi,Positive
tuyền nguyễn,"cũng tốt. đồ ăn ngon , đợi không quá lâu. gần ngay bờ hồ hoàn kiếm",4,"cũng tốt. đồ ăn ngon , đợi không quá lâu. gần ngay bờ hồ hoàn kiếm",vi,Positive
Bui Thuc Dong,"Đơn ra nhanh, ăn ngon miệng, hàng hơi bé. Cuối tuần nên nhà mình chuyển qua mang đi các bạn vui vẻ đóng đồ",5,"Đơn ra nhanh, ăn ngon miệng, hàng hơi bé. Cuối tuần nên nhà mình chuyển qua mang đi các bạn vui vẻ đóng đồ",vi,Positive
DUONG HA (GEMS),"The best flavor in fried chicken!  I think so!
DUONG HA GEMS (Ha Noi in Viet Nam)
Whatapp: +84979451921",5,"Hương vị ngon nhất của món gà rán! Tôi nghĩ vậy!
DƯƠNG HÀ GEMS (Hà Nội tại Việt Nam)
Whatsapp: +84979451921",en,Positive
Ngọc Lan Vũ,"Thanh toán chuyển khoản xong, máy báo lỗi không ra hoá đơn
Cửa hàng ko hoàn tiền mà bảo chuyển khoản thêm lần nữa
Rồi nói sẽ hoàn tiền sau, và đến hnay là 1 tuần chưa hoàn tiền
Cho số đt nhưng gọi ko bắt máy",1,"Thanh toán chuyển khoản xong, máy báo lỗi không ra hoá đơn
Cửa hàng ko hoàn tiền mà bảo chuyển khoản thêm lần nữa
Rồi nói sẽ hoàn tiền sau, và đến hnay là 1 tuần chưa hoàn tiền
Cho số đt nhưng gọi ko bắt máy",vi,Negative
nhat lu thi,Quá tệ,1,Quá tệ,vi,Negative
Amrik Singh,What to say about Mc D. It's just amazing go to universal food whichever part of the world you are in.,5,Nói gì về Mc D. Thật tuyệt vời khi được thưởng thức đồ ăn phổ thông cho dù bạn ở bất kỳ nơi nào trên thế giới.,en,Positive
엘파라코,"베트남 맥도날드만의 밥 메뉴는 밥이 맛 없어요
쌀밥을 남겨야만 할 정도로 맛 없는 쌀
날리는 쌀이라서가 아니라 맛이 최악
밥 메뉴를 먹는다면 소스는 마늘피쉬소스 말고
무난하게 바베큐 소스로 하세요 제발요!
점수가 낮은 이유는
여기 하노이 길거리보다 더 정신 없음
다른 매장으로 ㄱㄱ",1,"Thực đơn cơm của McDonald's Việt Nam không ngon.
Cơm nhạt nhẽo đến nỗi bạn phải để nó yên
Không phải vì nó là cơm bay mà là mùi vị tệ nhất.
Nếu ăn thực đơn cơm thì dùng nước chấm khác ngoài nước mắm tỏi.
Làm ơn chỉ làm nước sốt thịt nướng bình thường thôi!
Nguyên nhân điểm thấp
Ở đây điên hơn cả đường phố Hà Nội
Đi đến cửa hàng khác",ko,Negative
Thamaraiselvan G,A place to fill your tummy 😁 perfect when you are not in the mood for testing new delicacies,4,Một nơi để lấp đầy cái bụng của bạn 😁 hoàn hảo khi bạn không có tâm trạng thử những món ngon mới,en,Positive
Real Speed,暑いハノイで、憩いの休憩場所です。ソフトクリームも安く、マクドナルドブランドで安心できます。注文する機械も沢山あって、注文し易いと思います。店内と座席に関してですが、清掃があまりされていないと思いました。沢山の人が使うので、もう少し綺麗だと良いです。,4,"Đó là một nơi để nghỉ ngơi ở Hà Nội nóng bức. Kem mềm cũng có giá rẻ và bạn có thể yên tâm khi biết đó là thương hiệu McDonald's. Có nhiều máy đặt hàng nên mình nghĩ cũng dễ đặt hàng. Về phần bên trong cửa hàng và ghế ngồi, tôi không nghĩ nó được lau chùi thường xuyên. Vì được nhiều người sử dụng nên sẽ tốt hơn nếu nó sạch hơn một chút.",ja,Positive
Sana Ansari,Food was good but Cockroaches were roaming. Not sure if they were even present in the kitchen. Who knows wether the food was hygienic.,1,Thức ăn ngon nhưng Gián đang lang thang. Không chắc họ có mặt trong bếp hay không. Ai biết được thức ăn có hợp vệ sinh không.,en,Negative
story Hanoi,베트남이 아무래 흡연에 관대한 나라라고는 하지만...실내에서 흡연하는 대학생들이 있어요...직원들은 제지하지 않아요..,3,Mặc dù Việt Nam được cho là quốc gia khoan dung với việc hút thuốc... nhưng vẫn có sinh viên đại học hút thuốc trong nhà... và nhân viên cũng không ngăn cản họ.,ko,Neutral
Trường Phi Nguyễn,Mình ăn Mc Donald's Hồ Gươm khá nhiều nên mình đánh giá chất lượng và phục vụ tốt. Không gian hợp lý vì nó ngay bờ hồ,5,Mình ăn Mc Donald's Hồ Gươm khá nhiều nên mình đánh giá chất lượng và phục vụ tốt. Không gian hợp lý vì nó ngay bờ hồ,vi,Positive
"Hứa, Hựu Tinh",越南為數不多的麥當勞,5,Một trong số ít McDonald’s ở Việt Nam,zh-CN,Positive
Emily Rose,Great food. Went there multiple times while In Hanoi. The food was always ready in less than 10 minutes. The food quality and portions were very good. The food wasn’t expensive. Staff had good English and are very helpful.,5,Thức ăn tuyệt vời. Đã đến đó nhiều lần khi ở Hà Nội. Thức ăn luôn sẵn sàng trong vòng chưa đầy 10 phút. Chất lượng thực phẩm và các phần rất tốt. Thức ăn không đắt. Nhân viên có tiếng Anh tốt và rất hữu ích.,en,Positive
Mirtunjay Kumar,No veg option is there,1,Không có tùy chọn ăn chay ở đó,en,Negative
christophe humblet,"Went here twice, very decent and good food. Only bad thing is that the burgers are always a bit in the cold side",4,"Đã đến đây hai lần, đồ ăn rất ngon và ngon. Điều tệ nhất là bánh mì kẹp thịt luôn hơi lạnh một chút",en,Positive
David Vedder,"It's a Macca's, it's clean and tidy, has free WiFi, toilets, airconditioning, and reasonably priced food.
Nothing to complain about, job well done.",4,"Đó là Macca's, sạch sẽ và gọn gàng, có WiFi miễn phí, nhà vệ sinh, máy lạnh và đồ ăn giá cả hợp lý.
Không có gì để phàn nàn, công việc hoàn thành tốt.",en,Positive
Trần Tuyến,Rất đẹp,5,Rất đẹp,vi,Positive
Mikel Corral,bastante petado casi siempre pero bueno un oasis occidental,3,khá ngột ngạt hầu như luôn luôn nhưng ốc đảo phía tây tốt,es,Neutral
Paula Simpson,"Mcdonalds is McDonalds whoever you are.
Staff was friendly and efficient",5,"McDonalds vẫn là McDonalds cho dù bạn là ai.
Nhân viên thân thiện và hiệu quả",en,Positive
Hiếu Lê,"Quán làm đơn cho xế rất lâu. Gọi tổng đài , tổng đài bảo đợi đồ mang ra. Đợi 15-20p chưa thấy đâu. Phải 1 xế trông xe 1 xế vào lấy. Nói chung là tệ",1,"Quán làm đơn cho xế rất lâu. Gọi tổng đài , tổng đài bảo đợi đồ mang ra. Đợi 15-20p chưa thấy đâu. Phải 1 xế trông xe 1 xế vào lấy. Nói chung là tệ",vi,Negative
Hiếu Lê,Thái độ nhân viên tệ. Gọi tổng đài bảo xế đợi ở ngoài. Đợi 15-20p gọi cho quán quán vẫn bảo đợi. Nói chung là tệ,1,Thái độ nhân viên tệ. Gọi tổng đài bảo xế đợi ở ngoài. Đợi 15-20p gọi cho quán quán vẫn bảo đợi. Nói chung là tệ,vi,Negative
Lamvn,Bánh hamberger rất ngon,5,Bánh hamburger rất ngon,vi,Positive
Sebastian Neo,Long queue. Very crowded. Food was a bit below expectations.,4,Xếp hàng dài. Rất đông đúc. Thức ăn thấp hơn một chút so với mong đợi.,en,Positive
faiz abdul rasheed,"Service I meant is cashier couldn't understand English and speak, it should not be happening in an international franchise",1,"Dịch vụ tôi muốn nói là nhân viên thu ngân không thể hiểu tiếng Anh và nói được, điều đó không nên xảy ra trong một nhượng quyền thương mại quốc tế",en,Negative
Ameba Protozoo,Aire acondicionado a full. Muy adecuado para cuando estas sudado como un gitano y hueles a hostias.,5,Điều hòa đầy đủ. Rất thích hợp khi bạn đổ mồ hôi như dân gypsy và có mùi như cứt.,es,Positive
Hân Phạm,"Quá tệ , nhân viên thì kém",1,"Quá tệ , nhân viên thì kém",vi,Negative
vIcTor Lim,Like any McDonald's but don't even think of getting a seat during weekends. It's pack,4,Giống như bất kỳ cửa hàng McDonald's nào nhưng bạn thậm chí không nghĩ đến việc có được một chỗ ngồi vào cuối tuần. Đó là gói,en,Positive
Nhu Loc Dinh,Das war gut und der Service war toll,5,Điều đó thật tốt và dịch vụ thật tuyệt vời,de,Positive
CHIYUN CHIU,便宜又快，生菜沙拉不會預先混合美乃滋，給過！地點好。,5,"Rẻ và nhanh, salad rau diếp không được trộn sẵn với sốt mayonnaise, hãy cho! Vị trí tốt.",zh-CN,Positive
Pavan Johal,"Nice and clean McDonald’s with decent food. Really love how sauces are free on tap, unlike Hong Kong. So, that was a bonus!",4,"McDonald's đẹp và sạch sẽ với đồ ăn ngon. Thực sự thích cách nước sốt được cung cấp miễn phí, không giống như Hồng Kông. Vì vậy, đó là một phần thưởng!",en,Positive
Thuy Ngô,"Không gian gọi là ư là đông, mới có thứ3 thui ạ, chỗ để xe 10k:) nay mình gọi suất chessberger combo nước 69k cũng được nhưng bánh mỳ hơi hôi nhg đc caia phục vụ tốt, có cái tích điểm đổi quà nhg do mình k biết cách dùng nên bỏ qua. Ăn gọi cho bít thui giá nó cũng ngang tầm lotteria í mn. Điều hòa mát nha mn",4,"Không gian gọi là ư là đông, mới có thứ3 thui ạ, chỗ để xe 10k:) nay mình gọi suất chessberger combo nước 69k cũng được nhưng bánh mỳ hơi hôi nhg đc caia phục vụ tốt, có cái tích điểm đổi quà nhg do mình k biết cách dùng nên bỏ qua. Ăn gọi cho bít thui giá nó cũng ngang tầm lotteria í mn. Điều hòa mát nha mn",vi,Positive
Javier P.,Menú bigMc a unos 4€ al cambio,4,menu bigMc với mức thay đổi khoảng € 4,es,Positive
paul vdschans,"One toilet is a little less, and in the whole of Vietnam that have little portions. Staff was good and fast",4,"Một nhà vệ sinh thì ít hơn một chút, và trên toàn lãnh thổ Việt Nam có rất ít khẩu phần. Nhân viên tốt và nhanh chóng",en,Positive
Beanice's Life,"View đẹp, đồ ăn bình thường",4,"View đẹp, đồ ăn bình thường",vi,Positive
Ngọc Anh Nguyễn Thị,Gà ok burger bình thường,5,Gà ok burger bình thường,vi,Positive
Do Manh Cuong,"Đồ ăn ở McDonald’s khá ngon , nhiểu combo giá hợp lý , nhân viên phục vụ chu đáo , có order online tại quán rất tiện !",5,"Đồ ăn ở McDonald’s khá ngon , nhiểu combo giá hợp lý , nhân viên phục vụ chu đáo , có order online tại quán rất tiện !",vi,Positive
faig halwai,"ماكدونالدز غني عن التعريف
يوجد لديه برغر سمك لمن يبحث عن الطعام الحلال",4,"McDonald's không cần giới thiệu
Họ có bánh mì kẹp cá cho những ai đang tìm kiếm thức ăn halal",ar,Positive
Phương,"Không có gì để chê, mê tương ớt Mc Donald’s, giữ xe 10k.",5,"Không có gì để chê, mê tương ớt Mcdonald, giữ xe 10k.",vi,Positive
Yeonsil Kim,"치밥이 궁금해서 시켜봤어요 !
껌가 맛있네요~~ 좌석도 여유 있어서 간단하게 한끼하기 좋았어요 😀",5,"Tôi tò mò về cơm gà nên đã thử!
Kẹo cao su rất ngon ~~ Có rất nhiều chỗ ngồi nên ăn nhanh thật tuyệt 😀",ko,Positive
Yehuda Ashkenazi,טעים. אבל קטן פיצי. ההמבורגר הרגיל קטן יותר ממנת ילדים בארץ.,4,ngon. Nhưng nhỏ nhắn và đầy đặn. Chiếc bánh hamburger thông thường nhỏ hơn khẩu phần dành cho trẻ em ở Israel.,iw,Positive
DgLg,河內市老城區唯一一間麥當勞，店員禮貌親切，冷氣舒適，可用信用卡支付,5,McDonald's duy nhất ở phố cổ Hà Nội. Nhân viên lịch sự và thân thiện. Máy lạnh thoải mái. Chấp nhận thanh toán bằng thẻ tín dụng.,zh-CN,Positive
わっち,ごちそうさまでした。,4,Cảm ơn vi bưa ăn.,ja,Positive
Tom Lieberman,They still don't know how to make good McDonald's fries!,2,Họ vẫn không biết cách làm món khoai tây chiên ngon của McDonald!,en,Negative
Ben & Moon club (Ben 12),Amazing food,5,Món ăn tuyệt vời,en,Positive
Bruce Crompton,Cheeseburger deluxe? What does the regular cheeseburger look like?,1,Bánh mì kẹp phô mai cao cấp? Bánh mì kẹp phô mai thông thường trông như thế nào?,en,Negative
Thanh Nguyen,"Không gian ok
Hamburger không ngon",3,"Không gian ok
Hamburger không ngon",vi,Neutral
劉子耘-Teddy大頭,普通,3,thường xuyên,ja,Neutral
yo Fermach,Le lieu est dans un état pitoyable des odeurs nauséabondes en bas,1,Nơi này đang trong tình trạng tồi tệ với mùi hôi thối ở tầng dưới.,fr,Negative
Mr Thảo 2725,"Cửa hàng sạch sẽ, đẹp đẽ. Ngồi tầng 2 có thể ngắm ra được hồ gươm, và dòng xe đổ về hồ gươm. Đồ ăn nhanh ngon, đậm đà hương vị. Giá cũng ok so với mặt bằng",5,"Cửa hàng sạch sẽ, đẹp đẽ. Ngồi tầng 2 có thể ngắm ra được hồ gươm, và dòng xe đổ về hồ gươm. Đồ ăn nhanh ngon, đậm đà hương vị. Giá cũng ok so với mặt bằng",vi,Positive
Lê Tuấn Kiệt,"Nhân viên ngoan, ko gian sạch sẽ, yên tĩnh, gần trung tâm khu đi bộ rất thuận tiện cho việc đi dạo phố cuối tuần.",5,"Nhân viên ngoan, không gian sạch sẽ, yên tĩnh, gần trung tâm khu đi bộ rất thuận tiện cho việc đi dạo phố cuối tuần.",vi,Positive
khaiminh Tranvu,Tôi thấy đồ ăn rất ngon,5,Tôi thấy đồ ăn rất ngon,vi,Positive
k1m,"McDonalds padrão, razoável se estiver com saudade de um hambúrger barato. Quando fui estava vazio porque o turismo pós pandemi ainda estava começando.",3,"McDonalds tiêu chuẩn, hợp lý nếu bạn thèm một chiếc burger rẻ tiền. Khi tôi đi thì vắng tanh vì du lịch hậu đại dịch vẫn đang bắt đầu.",pt,Neutral
이승준,"🇰🇷 믿고 보는 한국인 리뷰 🇰🇷

호안끼엠 호수 근처에 있는 맥도날드입니다. 새벽 일찍 하노이에 도착하여 체크인 시간이 남아 방문했습니다.

이른 아침 시간이라 맥 모닝을 주문했고 낭낭하게 시간을 보낼 수 있었습니다.

그냥저냥 시간 떼우기에 좋으나 굳이 이 지점을 방문하여 맥도날드를 찾을 필요는 없어보입니다!",3,"🇰🇷 Những bài đánh giá bằng tiếng Hàn bạn có thể tin tưởng 🇰🇷

Đây là McDonald's gần Hồ Hoàn Kiếm. Tôi tới Hà Nội từ sáng sớm và vẫn kịp nhận phòng.

Vì còn sáng sớm nên tôi đã đặt mua một chiếc Mac Morning và có được một khoảng thời gian tuyệt vời.

Chỉ để giết thời gian thôi cũng được, nhưng không cần thiết phải đến chi nhánh này để tìm McDonald's!",ko,Neutral
Shaun Pletschke,"I ordered chicken and a Big Mac via Grab Food and it was the worst meal that I've had in Hanoi so far. Avoid ordering from this branch if you can, especially through Grab.",2,"Tôi đã gọi món gà và Big Mac qua Grab Food và đó là bữa ăn tệ nhất tôi từng ăn ở Hà Nội cho đến nay. Tránh đặt hàng từ chi nhánh này nếu có thể, đặc biệt là thông qua Grab.",en,Negative
Phuong Tran,Ok service. Mediocre food,4,Được rồi dịch vụ. Đồ ăn tầm thường,en,Positive
Issey Draft,トイレとフリーWi-Fiに困った時の駆け込み場所。,5,Một nơi để đến khi bạn gặp khó khăn trong việc tìm nhà vệ sinh hoặc Wi-Fi miễn phí.,ja,Positive
山際一三,"チョコレートアイスを注文しレジで精算し席に着いた。……あとから来て注文したカップル💑が商品を受取り店の外へ出ていく。…次のカップルも……私の前の家族連れの商品は、２階へ店員が運んで行った。…私の後の家族の商品も２階に運んで行く。あれ、私のチョコレートアイスは？……店員は、私のレシートを確認レジ前のレシートの山を遡る……やはり忘れている🤣🤣🤣

こんな事が2日も続くとは…。
今はツキが戻るのを待とう😆

店員に悪気は無さそう。…ハハハ",2,"Tôi gọi kem sô-cô-la, thanh toán tại quầy tính tiền rồi ngồi vào chỗ. ...Đôi vợ chồng đến sau đặt hàng 💑 đã nhận hàng và rời khỏi cửa hàng. ...Cặp đôi tiếp theo cũng vậy...Nhân viên cửa hàng mang đồ của gia đình trước mặt tôi lên tầng hai. ...Tôi cũng mang sản phẩm của người nhà theo sau lên tầng hai. Còn kem sô-cô-la của tôi thì sao? ...Nhân viên bán hàng kiểm tra biên lai của tôi rồi lật lại đống biên lai trước quầy thu ngân...Quả nhiên tôi quên mất🤣🤣🤣

Tôi không thể tin được chuyện như thế này lại tiếp diễn suốt hai ngày...
Bây giờ hãy đợi Tsuki quay lại nhé😆

Dường như không có ác ý nào đối với nhân viên cửa hàng. …hahaha",ja,Negative
Pravin PK,Affordable food for everyone,5,Thực phẩm giá cả phải chăng cho mọi người,en,Positive
Sofie Bagger,Fin service klassisk macdonalds,3,Dịch vụ tốt đẹp mcdonalds cổ điển,da,Neutral
Sarah Jackson,"Might as well just serve it in a small size even though we pay for large and ask for large. Are you rationing potatoes?

Happens every time.

Order large and they ALWAYS fill it less than half.",1,"Cũng có thể chỉ phục vụ nó với kích thước nhỏ mặc dù chúng tôi trả tiền cho món lớn và yêu cầu món lớn. Bạn có đang chia khẩu phần khoai tây không?

Xảy ra mọi lúc.

Đặt hàng lớn và họ LUÔN lấp đầy ít hơn một nửa.",en,Negative
Nick “Six” Masters,A good place to eat after doing your shopping at the Plaza across the road.,5,Một nơi tốt để ăn sau khi mua sắm tại Plaza bên kia đường.,en,Positive
Ngọc Hân Lê,"Đồ ăn ngon, nhiều loại nước, sốt, bánh, tráng miệng, giá cả 4/5. Không gian đẹp, rộng",5,"Đồ ăn ngon, nhiều loại nước, sốt, bánh, tráng miệng, giá cả 4/5. Không gian đẹp, rộng",vi,Positive
thinhqt,Tuyệt vời,5,Tuyệt vời,vi,Positive
송종한,메뉴가 한국이랑 약간 다르며 종류도 더 적음. 그래도 가격이 저렴하고 맛은 한국이랑 다르지않음,5,"Thực đơn hơi khác so với Hàn Quốc và có ít loại hơn. Tuy nhiên, giá cả lại rẻ và hương vị không khác gì Hàn Quốc.",ko,Positive
Pham Đức Mạnh,Không có chỗ gửi xe,4,Không có chỗ gửi xe,vi,Positive
Philip Alva,Great experience and ambiance.,5,Trải nghiệm tuyệt vời và tuyệt vời.,en,Positive
Đức Tâm Nguyễn,Nhân viên làm ăn lề mà lề mề.,1,Nhân viên làm ăn lề mà lề mề.,vi,Negative
Snsjnxnxnx Wjdxnjxkdnd,Làm quá lâu,1,Làm quá lâu,vi,Negative
alexis 3375,"Après le Cambodge et le Laos un vrai plaisir de retourner dans un fast food. Le prix est très correct, la nourriture plutôt bonne.",4,"Sau Campuchia và Lào, thật vui khi được trở lại quán ăn nhanh. Giá cả rất công bằng, đồ ăn khá ngon.",fr,Positive
Grigory Zimenkov,McDonald’s is everywhere good,5,McDonald's ở đâu cũng ngon,en,Positive
bui tuan anh,"Mình đi cuối tuần nên quán rất đông. Đặt món bằng máy nhưng vẫn phải ra quầy thanh toán nhé, sau đó nhân viên sẽ đem đồ lên cho bạn. Đồ ăn nhanh nên không có gì để nói, ăn no là được. Nhân viên nhiệt tình, mình nhờ mấy việc họ cũng chạy đi làm cho. Quán vị trí đẹp nhưng view nhìn hầu như không có mấy. Cả quán chỉ có 1 nhà vệ sinh 2 phòng nên ăn xong muốn rửa tay hay đi vệ sinh xếp hàng khá mất thời gian.",5,"Mình đi cuối tuần nên quán rất đông. Đặt món bằng máy nhưng vẫn phải ra quầy thanh toán nhé, sau đó nhân viên sẽ đem đồ lên cho bạn. Đồ ăn nhanh nên không có gì để nói, ăn no là được. Nhân viên nhiệt tình, mình nhờ mấy việc họ cũng chạy đi làm cho. Quán vị trí đẹp nhưng view nhìn hầu như không có mấy. Cả quán chỉ có 1 nhà vệ sinh 2 phòng nên ăn xong muốn rửa tay hay đi vệ sinh xếp hàng khá mất thời gian.",vi,Positive
Min Lee,"결재하고 2층에서 식사하는데 여태까지 먹은 맥도날드 빅맥 중 퀄리티 제일 낮음. 혹시나해서 석달사이에 2번 왔는데 2번다 맛없었음. 미국, 한국, 캐나다등 많은 지점에서 먹어봤지만 여기가 최하위임 직원들이 늦은 밤이라 피곤한지 구석에 쓰레기 그대로 방치해두고 안 치우는데 비위생적이고 이 지점은 다시 방문 할 생각없음",2,"Tôi đã thanh toán và ăn ở tầng hai, nhưng đó là chiếc Big Mac McDonald's có chất lượng thấp nhất mà tôi từng ăn. Để đề phòng, tôi đến đây hai lần trong ba tháng, và cả hai lần đều không ngon. Mình đã ăn ở nhiều chi nhánh ở Mỹ, Hàn, Canada v.v. nhưng đây là nhân viên cấp thấp nhất, chắc do khuya và mệt nên bỏ rác trong góc chứ không dọn dẹp sạch sẽ, mất vệ sinh và tôi không có ý định ghé thăm chi nhánh này nữa.",ko,Negative
Tuấn Dũng Trần,Ko gian hơi nhỏ nhưng sạch sẽ. Trời mùa hè vào ăn mát lạnh thấy…ngon hẳn 😂,4,Không gian hơi nhỏ nhưng sạch sẽ. Trời mùa hè vào ăn mát lạnh thấy…ngon hẳn 😂,vi,Positive
Александр Семенов,Выкидывают мусор прямо при гостях. Он очень сильно воняет! Испортили аппетит,1,Họ vứt rác ngay trước mặt khách. Nó bốc mùi quá! Làm hỏng sự thèm ăn của tôi,ru,Negative
Md. Paiker,As usual a good place for MC lovers.,5,Như thường lệ là một nơi tốt cho những người yêu thích MC.,en,Positive
Danny Birkett,Very busy two storey McDonald's. They bring your order to your table and the food is so fresh and tasty and the burgers 🍔 actually look like the pictures. And the place is spotless the staff are always cleaning.,5,"McDonald's hai tầng rất bận rộn. Họ mang đơn đặt hàng đến bàn của bạn và thức ăn rất tươi ngon và bánh mì kẹp thịt 🍔 thực sự trông giống như những bức tranh. Và nơi này không tì vết, nhân viên luôn dọn dẹp.",en,Positive
James Oh,맥도날드 구요.. 뭐 별거 있나요.,5,Đó là McDonald's.. có gì đặc biệt không?,ko,Positive
내사랑비치,"아이들과 여행시 무조건 맥도날드죠
하노이 맥도날드도 역시 좋네요
호안끼엠호수에서 아침운동하고 맥모닝 먹으니 애들이 엄청 좋아하네요.
깨끗하고 맥모닝 아이스크림 커피 다 맛있었어요",5,"Khi đi du lịch cùng trẻ em, chúng tôi luôn đến McDonald's.
McDonald's Hà Nội cũng ngon.
Bọn trẻ thực sự thích tập thể dục vào buổi sáng và ăn McMorning ở Hồ Hoàn Kiếm.
Nó sạch sẽ, kem và cà phê McMorn đều ngon.",ko,Positive
Đức Phạm,Bạn nhân viên giúp mình lấy đồ khi mình đang chờ nên 5 sao nha. Có note quán rất đông nếu ăn tại chỗ buổi tối cuối tuần nha,5,Bạn nhân viên giúp mình lấy đồ khi mình đang chờ nên 5 sao nha. Có note quán rất đông nếu ăn tại chỗ buổi tối cuối tuần nha,vi,Positive
Farhana,"Hands down, I would pick the McDonald’s in Vietnam any day over what we have here in Singapore.

The spicy chicken was crispy and so sooo good, I had plans to reorder it (but then I selected the non-spicy chicken) which wasn’t up to mark.

Very satisfied with the burgers and chicken McDonald’s offer. Will be back (hopefully)!",5,"Chắc chắn là tôi sẽ chọn McDonald's ở Việt Nam bất cứ ngày nào thay vì những gì chúng tôi có ở Singapore.

Món gà cay giòn và ngon quá, tôi đã định gọi lại món này (nhưng sau đó tôi đã chọn loại gà không cay) và món này không đạt tiêu chuẩn.

Rất hài lòng với món bánh mì kẹp thịt và thịt gà của McDonald. Sẽ trở lại (hy vọng)!",en,Positive
